ID_Empleado,Nombre,Área,Salario,Edad,Género,Fecha_Ingreso,Correo
1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,Allison Hill,RRHH,1662.57,,F,2020-10-11,johnsonjeffery@hotmail.com
386ecbe0-6b65-46a4-8b81-48f6b38a088c,Kristina Baldwin,Marketing,2065.1,,M,2022-11-30,blakeerikyahoo.com
6142ea7d-17be-4111-9a2a-73ed562b0f79,Christopher Bernard,Marketing,5413.12,,F,2021-12-07,lindsay78@gmail.com
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,,IT,2932.86,,Otro,2022-11-11,williamsjeremy@galloway-wyatt.com
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,Jesse Flowers,Contabilidad,6037.91,,Otro,2021-07-17,amandasanchez@gray-mayo.net
0837b8a3-d261-47ab-baa2-e4f90e51f30d,Frederick Tate,Finanzas,2164.37,,M,2022-02-11,clarksherri@hotmail.com
24933b83-7577-40a9-a491-f0b2ea1fca65,Matthew Foster,Finanzas,6746.33,,,2020-12-31,julie69@cox-osborn.com
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Ann Williams,IT,2012.2,,Otro,2022-12-11,djames@king.com
4b22d308-1c8e-4ee9-9715-bd6fa4161293,Kimberly Adams,RRHH,5798.21,,M,2021-01-29,mckaynancy@yahoo.com
4c66e0a8-a013-4c6e-9eda-4e161b3dbd5c,Pamela Romero,IT,3306.83,,Otro,2022-07-26,nathanielmartin@sellers.com
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Sherry Decker,Finanzas,6061.83,,M,2020-09-28,wcabrera@cannon.net
8a0f4efb-edcd-465e-b638-6821f6e07cc0,Joseph Obrien,Contabilidad,2562.12,,Otro,2023-06-10,pcarney@yahoo.com
05628059-568c-469b-9064-005c3985c3cf,,Marketing,2927.5,,M,2022-10-06,adrianzimmerman@perez.com
b92da22b-21df-406f-8a0b-3c3336d8393a,David Caldwell,Finanzas,4107.57,54,F,2022-11-10,kristenaguirre@gmail.com
baa4b71a-dd24-47ac-b78e-edb3693dffbc,Matthew Gomez,Finanzas,2882.07,,,2023-04-10,powellmatthew@wright.net
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Javier Ramirez,Contabilidad,3221.72,46,Otro,2023-11-05,pearsonamber@novak.com
610461e3-2a25-4888-8f02-bad0e7067ef4,John Hancock,Marketing,4096.1,18,F,2022-01-25,smitchell@hotmail.com
0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,Kristi Higgins MD,RRHH,7097.17,55,F,2023-07-15,brian97@calhoun.net
675dd5af-3c36-4296-9ca0-2eecacdabacc,Cody Larson,RRHH,4000.99,,,2024-03-12,harveyrobert@cunningham.com
edd4253b-50f0-4d0a-b50c-ab754ccc9bc2,James Powers,RRHH,5921.84,22,Otro,2020-06-12,jonesjason@yahoo.com
286218b8-48f4-4f12-9e99-53d23e896c64,Gregory Jones,Finanzas,4325.97,,M,2023-12-15,contrerasangela@hotmail.com
8da01097-be0f-451b-9b66-b5a9e3c43657,Shawn Baker,Finanzas,7817.27,27,M,2021-07-26,jenniferharris@hotmail.com
17a0df49-0d01-480f-989a-40c0e87d1c78,Kathy King,Marketing,5458.31,58,Otro,2022-03-18,smithkellie@hotmail.com
0279b6a6-8f97-47b0-ad7c-e3c9b4a69f3c,Candice Ramos,Marketing,7470.21,,Otro,2020-09-22,davenportbrandi@jordan.com
35c7936c-5b99-42c6-a61f-ecc00a368ce7,Timothy Stanton,Finanzas,7211.69,,F,2023-03-31,kimberly69moore.com
696608aa-ee49-4329-884a-7b28550a1b46,Allison Doyle,RRHH,2056.75,,M,2024-01-31,erik16@garrison.com
39118497-3a43-42ba-9f0f-06cbcb9bc326,Julia Torres,Contabilidad,2334.54,,F,2023-03-20,emurphy@bell-hicks.net
f668a617-94a1-475d-adb6-9edb42deffcc,Alexander Wiley,IT,7768.36,,F,2020-07-27,yreed@graham-joyce.com
85197ff4-006e-46e3-afa1-7735b572f3d0,Kenneth Scott,Finanzas,4347.65,,,2023-04-30,ryan59@alvarado-martinez.com
2095eef6-8ded-49fb-8bb0-0f20b27c4026,,Finanzas,1636.72,,F,2022-03-13,christinaturner@hotmail.com
a79ac9aa-9b4e-4c24-9479-e1e6c9277d9b,Elizabeth Clark,RRHH,2988.12,38,Otro,2022-05-21,gloweyahoo.com
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Toni Fitzgerald,IT,2892.54,60,,2023-02-06,cardenaskaren@hotmail.com
79a28903-fbe3-4b24-beae-00320bd4a990,Robert Hernandez,IT,2737.66,57,,2024-01-09,operry@lee.com
1b494e15-e2ad-4909-8521-bf2ddc45d539,Michael Stafford,RRHH,5876.87,,M,2021-05-03,pwilliamsbryant.net
e45b712e-b822-4688-90a4-44329cd6c852,Linda Dodson DVM,RRHH,3116.27,50,,2022-03-22,juliawells@yahoo.com
a07295e9-7c0e-4cd8-8573-e793c715b2b9,Sara Ramirez,IT,3123.74,33,,2021-07-29,reevesjimmy@yahoo.com
271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,Joshua Taylor,RRHH,1828.82,,M,2020-09-05,drivera@yahoo.com
b20dcb6e-f231-4f17-9586-3a76c51155ff,Ross Price,Contabilidad,2581.02,,,2024-01-19,wsmith@yahoo.com
bc10fa52-bf5d-4fdf-89c8-d2ab6b44fa8d,Sarah Ashley,RRHH,2570.14,52,,2023-10-23,brobinson@johnson-rogers.biz
06e745f9-88bc-439c-9f4c-3b79fb10987f,Sara Calhoun,IT,3354.12,,,2022-12-04,dayderek@white-green.com
f3821cfd-c083-473a-873b-d358610e6a64,Gabriel Juarez,RRHH,5264.67,,M,2021-06-24,ismith@cooke.com
3f4df561-f319-4125-87f1-94f9c1156d6d,Rachael Pearson,Marketing,4599.13,,F,2023-12-23,johnwellselliott.info
b7e6427c-bf78-4e3f-b6b7-51f79b749245,Pamela Jackson,Contabilidad,1945.39,25,F,2023-09-19,daniel04@byrd.com
4d3485c5-c5c1-4eb4-b27b-3d901a16342c,Michael Burton,Marketing,3100.4,,M,2023-11-01,reedross@jones-holland.com
e43e4288-a2b5-4498-9cb8-5aedf5f62c97,Samantha Garcia,Marketing,5173.98,,Otro,2023-06-01,hthompson@nelson.info
d4aac9a3-3ed8-456c-9a09-dfa052828d80,Roger Vargas,Contabilidad,3226.49,23,Otro,2021-08-05,karenhudson@hotmail.com
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,Allen Rosales,RRHH,1560.55,,M,2021-11-08,angela83gmail.com
a559e463-79e1-4cea-b0cb-c61f3d85de89,Jason Peters,Finanzas,2360.97,,M,2022-04-25,phillipsrichard@torres.com
5a104129-54ae-4d1b-8ce6-424dbef59fe6,Joseph Coleman,Contabilidad,4348.2,,Otro,2021-07-23,jerry35@gmail.com
7bf47042-bd15-41c8-b764-fbda3108d448,Tiffany Vaughn,Marketing,1550.85,,Otro,2023-06-28,wallkenneth@yahoo.com
0df56ac6-f96b-448a-8ba6-eab94639447b,Adrian Ferguson,Contabilidad,3219.03,53,F,2021-08-25,agarcia@mitchell.com
12f70c97-7de3-4a51-a694-c34310ba58e3,Scott Wilson,Finanzas,2823.38,,Otro,2023-01-31,edwardhart@miller-wright.net
61607459-85c7-404b-8693-da1139c6a1ca,Lisa Gibbs,RRHH,2099.94,,Otro,2024-04-09,michelle64hotmail.com
a021c0ca-3531-468d-8342-bd2bf295456e,Lisa Singh,Contabilidad,5641.24,,F,2021-07-14,johnarnold@smith.org
743b65a2-dc0f-4fcf-b3f6-fe0d48603b32,Andrew Roberts,IT,5145.89,22,M,2023-05-01,kristin93@wilson-walker.com
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,,Contabilidad,5046.34,,F,2024-04-29,smartinez@yahoo.com
9918ee46-1497-4658-b010-f7197e695d0d,Terri Mason,Finanzas,7343.38,20,Otro,2024-03-10,cassandra01@gmail.com
c3c75611-ffe3-4a49-854f-92fff366bad4,Sara Johnston,RRHH,3798.91,,,2022-11-10,thomaspearson@white-richards.info
db946570-1ac7-4ec0-ab8d-deb45230dfbd,Julie Ortiz,Contabilidad,7119.94,28,,2021-10-23,zrobertshotmail.com
6778043b-c5c5-437a-b85e-06a11dad09b2,Brandon King,Finanzas,6585.51,,F,2023-12-01,mgutierrez@cox.com
7c16128d-b2c0-4394-a17f-29e170286046,Joshua Pennington,RRHH,3986.52,25,,2020-07-12,lancesmith@davis-gay.com
4ab7706e-b773-40ca-aec2-59dc7f95897c,Bruce Collier,IT,3772.78,50,F,2023-05-29,edavenportgmail.com
e11b868d-bf0d-473d-821c-13369970cf60,Charles Lee,Finanzas,3310.92,26,Otro,2024-01-31,kendra65@adams.org
585a0afa-7bfd-4c12-89e0-6ab37250ee18,Mary Grimes,Marketing,3652.47,39,M,2022-10-03,mcantu@hotmail.com
bea4ff31-5174-40f8-8b2c-782a69288e92,James Chase,Marketing,7756.47,,M,2023-05-29,ymcneil@hotmail.com
19b17e80-dea4-4e17-94fd-9ad39716108e,Mrs. Amanda Shaw,Finanzas,4336.56,,M,2020-10-30,bowenrobert@hotmail.com
b15516bc-9f8d-4d97-96ab-f2f143d88870,Angela Harrington,Finanzas,1788.51,,M,2023-03-04,melissa86@sims-clay.info
4991ab9b-ebc2-426f-af34-cf65a193c4b2,Amanda Jones,Contabilidad,3867.44,32,Otro,2023-08-02,wgood@padilla.com
6e417d47-5ff5-45ea-9bc4-40f14b1a269b,Amber Flynn,RRHH,6178.4,,Otro,2021-06-12,georgemiller@yahoo.com
a34db7c5-760d-4bbb-bb70-b3a124a35cf2,Cynthia Durham,Finanzas,5103.68,34,,2022-05-12,nolansteven@yahoo.com
4c955f6a-966b-4964-bcd6-bdca5876fd09,,Contabilidad,5500.85,,,2022-03-19,mbruce@yahoo.com
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,Ashley James,Finanzas,2866.19,,Otro,2020-07-02,alan09@hotmail.com
3810ae66-5a31-44cc-8d4b-69a99b689c88,Tanner Mitchell DDS,Contabilidad,4822.63,,F,2021-03-20,courtneyberger@hotmail.com
1712fb16-21a4-444f-bb7b-ee035d678bb1,Richard Johnson,Marketing,3678.72,36,Otro,2021-10-18,jamesbuchanan@yahoo.com
f1b64afe-d31e-4f1a-a9ff-1cae41c8ca8c,Susan Rivas,RRHH,1800.39,,M,2023-11-02,linda71@gmail.com
f79efd70-65bc-4272-badd-7ea3aca5e2fd,Courtney Rhodes,Marketing,2763.83,,,2021-12-18,ismith@gibson.com
78b2b549-3bdb-409e-acc2-16a01bbc91f7,Samantha Bentley,RRHH,7302.29,19,,2023-01-16,deborahreid@yahoo.com
0986bbeb-f23e-423d-8b9b-d93423c86d30,Elizabeth Ortiz,Marketing,4519.57,,F,2022-07-03,youngamanda@chavez-santiago.net
d56ce8ea-1959-4b5a-a7a8-f6366a35df59,Patrick Moore,Contabilidad,6709.21,,Otro,2023-01-10,antonio53@yahoo.com
8b621d41-5e09-49ee-af88-bdecfb1e143b,David Cox,Marketing,6797.54,,,2021-12-07,hhill@davis-lewis.org
90882eaf-c977-4598-a03c-8c25fd235def,Amber Cook,Contabilidad,6333.76,,,2020-09-12,lisahall@kramer.com
2cabd7e7-cc6b-46e5-802a-df9c8a4b8f7c,William Huerta,Finanzas,6477.79,,,2023-03-21,alexistyler@chapman.com
79eb4168-1045-46e5-bee3-eb791d181ee9,Cameron Fisher,RRHH,6138.04,46,Otro,2023-09-19,hayesjeffrey@hotmail.com
a4b1f991-7542-4646-8d37-a539857dd3b3,Richard Camacho,RRHH,2399.43,19,,2020-08-31,gsimmons@yahoo.com
10d08d11-25f9-44bf-9bb9-61555275eb94,Jill Lam,RRHH,4196.64,,,2021-07-30,hvang@yahoo.com
a79b44b6-da50-4fed-9d4a-3d81b3a7d0e0,Larry Garcia,IT,4031.6,,M,2024-02-21,ohayes@morgan-chavez.biz
2713582c-f41e-43ac-9fd2-31094140752c,Emily Edwards,IT,4600.37,,Otro,2020-09-10,daviscolin@watson.net
c012a0ff-f0ed-4303-aa53-c19cdfa4bb9f,Meagan Jenkins,IT,4998.43,,F,2024-02-06,caroline51@romero.com
