customer_id,name,email,phone,country
1,Brandon Russell,grayanna@christian-moore.com,+1-532-061-9610,Germany
2,Ashley Williams,kristysmith@berry-baker.com,001-458-739-8950x68689,Tuvalu
3,Kelly Barnes,jessicamiller@barrett-jackson.com,+1-617-695-0391,Switzerland
4,Alexandria Bell,upatel@fowler.com,+1-722-876-7002,Korea
5,David Bell,awalters@gmail.com,+1-185-116-0861x860,Gibraltar
6,John Potter,obailey@hotmail.com,(612)531-0868,Gambia
7,Matthew Moon,david58@gmail.com,+1-296-602-7057x7460,Cayman Islands
8,Shelby Robertson,vincent85@barry.com,833-546-0813x830,Congo
9,David Greene,angela28@hartman.info,001-604-975-6382x9099,Lithuania
10,Kevin Vazquez,qcox@yahoo.com,537-532-6066x84286,Heard Island and McDonald Islands
11,Edward Odonnell,raymondbrett@yahoo.com,179-537-4799x5378,Montserrat
12,Denise Friedman,smithdonna@anderson.net,(553)907-8949,United Arab Emirates
13,Mrs. Jasmine Watts,justin65@williams-smith.com,048.283.4773,Finland
14,Ashley Salazar,abigailweeks@hotmail.com,(671)096-6852x7233,Dominican Republic
15,Dana Clark,smithdiana@hotmail.com,0364241453,Malawi
16,Isaiah Hernandez,qwalker@myers-lopez.com,042.712.1758x9078,Guinea
17,Daniel Zuniga,watkinsmark@deleon.biz,(627)202-1501,Cameroon
18,Jeffrey Harris,browndanny@hotmail.com,205-733-3652,Benin
19,Dorothy Caldwell,lisabrown@gmail.com,343-280-9846,Micronesia
20,Mark Bradford,michael05@blake.com,+1-571-983-6133x567,Finland
21,Kristen Stephens,greenanthony@hotmail.com,+1-235-212-9141x15045,Bulgaria
22,Brandon Green,hestermark@delacruz.com,1191765226,Afghanistan
23,David Smith,leahmiller@hotmail.com,626-410-1964x908,Rwanda
24,Eric Harper,wadekyle@gmail.com,(370)612-2083x17936,Mongolia
25,Shannon Dawson,duffymichelle@gmail.com,084.030.2810x679,Hungary
26,Clarence Barrett,millerjason@hotmail.com,+1-294-586-4462x8881,Timor-Leste
27,Stefanie Munoz,gibsondiana@lindsey.com,001-754-899-5320x50917,Spain
28,Jason Thompson,hallpatrick@hunter.com,001-783-875-5964x57231,Saint Lucia
29,Amy Black,sarah22@jackson.com,001-838-278-0724x58731,Japan
30,Sherry Foster,shancock@baird.info,1055538879,Puerto Rico
31,David Lopez,lisacopeland@yahoo.com,+1-052-458-4153x0182,Malaysia
32,John Fisher,lindseyisaac@gmail.com,671-615-8613x41152,Comoros
33,Austin Meyers,therring@gmail.com,(014)866-5551x59210,Kenya
34,Frank Bryan,jacqueline25@hotmail.com,538.097.2353x7834,United States Minor Outlying Islands
35,Christina Olson,dsims@yahoo.com,(416)719-5699x98230,Central African Republic
36,Rachel Wallace,kimberlythompson@hotmail.com,619.681.5722,Guatemala
37,Betty Oconnell,dmoore@yahoo.com,+1-393-439-9043x970,Cocos (Keeling) Islands
38,Gary Wade,benjamin30@lewis-thompson.info,(218)809-3162x34272,Morocco
39,James Johnson,ryan92@hotmail.com,(334)782-9328,Chile
40,Steven Wilson,jaclynporter@hotmail.com,+1-638-396-1448x44329,Costa Rica
41,Mrs. Michelle Davis,djones@yahoo.com,168.417.0245x27741,Qatar
42,William Watson Jr.,joseph81@gmail.com,5577622325,Costa Rica
43,Nicole Cabrera,kwatson@holder-diaz.biz,+1-603-739-3295,Kenya
44,Lisa Montes,qrogers@young.com,272-238-2246x870,Hong Kong
45,Debbie Harrington,charlesyang@yahoo.com,+1-415-264-7879x0032,Kyrgyz Republic
46,Crystal Holmes,tiffany23@smith.com,887.874.3563x89330,Panama
47,Sierra Sims,michelle42@hotmail.com,(523)215-3519x7005,New Zealand
48,Kristy Wong,diana23@yahoo.com,+1-637-943-9547x9475,Madagascar
49,Brooke Crawford,drewgraham@estrada.info,+1-335-033-2924x3629,Malawi
50,Paul Morse,stephaniebarnett@brown.com,366-818-4629x62535,Martinique
51,Lauren Johnson,kimberly10@yahoo.com,9061212534,Dominican Republic
52,David Johnson,thomastran@martin.org,+1-931-617-1512x79838,Burundi
53,David Miller,cody30@hotmail.com,551-384-0141x886,Ecuador
54,George Owens,ewashington@copeland.info,(388)083-5229x2994,Timor-Leste
55,Timothy Shields,hillwalter@jenkins-daniel.info,127-298-9948x85794,Chile
56,Danny Wong,davisnancy@gmail.com,636.458.8489x808,Botswana
57,Cameron Castillo,tammymercer@hotmail.com,423-119-9452,Germany
